query,x,y,z,roll,pitch,yaw,width,obj_height,success,label,scene,source
tomato soup,0.4344765342960289,-0.6842599277978338,0.7867337703704833,0.0,0.0,-1.457436442375183,0.0312635079026222,0.0017337799072265,1,1,owg_tray,ui_log_auto_v1
chips,-0.0528880866425992,-0.7492418772563176,0.8541484117507934,0.0,0.0,-1.515838384628296,0.02957509085536,0.0691484212875366,1,1,owg_tray,ui_log_auto_v1
tennis,-0.1864620938628158,-0.5976173285198556,0.8410251379013061,0.0,0.0,-0.5004521608352661,0.0380451306700706,0.0560251474380493,1,1,owg_tray,ui_log_auto_v1
sauce\,0.2214801444043322,-0.7420216606498194,0.8221800565719604,0.0,0.0,-0.4615610837936401,0.0482809133827686,0.0371800661087036,1,1,owg_tray,ui_log_auto_v1
a tennis ball,-0.1864620938628158,-0.5976173285198556,0.8410254955291747,0.0,0.0,-0.5004955530166626,0.0380467362701892,0.0560255050659179,1,1,owg_tray,ui_log_auto_v1
hammer,-0.2153429602888086,-0.5398555956678701,0.7849132061004638,0.0,0.0,0.2275583744049072,0.0429496020078659,-8.678436279296875e-05,1,1,owg_tray,ui_log_auto_v1
soda can,-0.2117328519855595,-0.4459927797833935,0.8689109325408935,0.0,0.0,0.2028610706329345,0.041665568947792,0.0839109420776367,1,1,owg_tray,ui_log_auto_v1
tennis ball,-0.1720216606498194,-0.5976173285198556,0.8434596300125121,0.0,0.0,-0.5555682182312012,0.0364583767950534,0.0584596395492553,1,1,owg_tray,ui_log_auto_v1
hammer,-0.226173285198556,-0.3340794223826715,0.8118072986602782,0.0,0.0,-0.6088788509368896,0.0362338796257972,0.0268073081970214,1,1,owg_tray,ui_log_auto_v1
a can of potato chips,-0.0528880866425992,-0.763682310469314,0.8541196823120116,0.0,0.0,-1.508307933807373,0.0300462804734706,0.0691196918487548,1,1,owg_tray,ui_log_auto_v1
black clamp,0.0518050541516245,-0.5037545126353791,0.8215353727340697,0.0,0.0,-0.931288719177246,0.037019096314907,0.0365353822708129,1,1,owg_tray,ui_log_auto_v1
mustard,0.1240072202166065,-0.3629602888086642,0.8395127296447753,0.0,0.0,-0.6612963676452637,0.0533100813627243,0.0545127391815185,1,1,owg_tray,ui_log_auto_v1
tomato soup,0.2720216606498195,-0.3449097472924187,0.8670435190200805,0.0,0.0,-0.730776309967041,0.0395803786814212,0.0820435285568237,1,1,owg_tray,ui_log_auto_v1
scissors,0.178158844765343,-0.7420216606498194,0.8130946397781371,0.0,0.0,-0.2838515043258667,0.0313345380127429,0.0280946493148803,1,1,owg_tray,ui_log_auto_v1
