scope,method_a,method_b,n,success_rate_a,success_rate_b,mannwhitney_p,welch_ttest_p,mcnemar_exact_p_paired,mcnemar_discordant_Asucc_Bfail,mcnemar_discordant_Afail_Bsucc,note,excluded_reason
ALL,OT-CFM,CFM-noOT,350,0.7314,0.7829,0.11292447149377703,0.11293215369768253,0.03558272445223169,24,42,,
ALL,OT-CFM,DDPM(DDIM-50),350,0.7314,0.7943,0.05077807067543772,0.050683374402850465,0.008146902228698568,21,43,,
ALL,CFM-noOT,DDPM(DDIM-50),350,0.7829,0.7943,0.7115816650910799,0.7116672371299365,0.6271025701571489,17,21,,
ALL_excl_scissors,OT-CFM,CFM-noOT,300,0.72,0.78,0.09001331765710238,0.08997351820042876,0.03558272445223169,24,42,,
ALL_excl_scissors,OT-CFM,DDPM(DDIM-50),300,0.72,0.7933,0.03652292917540111,0.03639084997416755,0.008146902228698568,21,43,,
ALL_excl_scissors,CFM-noOT,DDPM(DDIM-50),300,0.78,0.7933,0.6906624180708619,0.6907661981796152,0.6271025701571489,17,21,,
Banana,OT-CFM,CFM-noOT,50,1.0,1.0,nan,nan,nan,0,0,zero variance in both groups (all success or all fail) - test undefined,
Banana,OT-CFM,DDPM(DDIM-50),50,1.0,1.0,nan,nan,nan,0,0,zero variance in both groups (all success or all fail) - test undefined,
Banana,CFM-noOT,DDPM(DDIM-50),50,1.0,1.0,nan,nan,nan,0,0,zero variance in both groups (all success or all fail) - test undefined,
CrackerBox,OT-CFM,CFM-noOT,50,0.44,0.42,0.8438609758281396,0.8418950274429846,1.0,8,7,,
CrackerBox,OT-CFM,DDPM(DDIM-50),50,0.44,0.42,0.8438609758281396,0.8418950274429846,1.0,8,7,,
CrackerBox,CFM-noOT,DDPM(DDIM-50),50,0.42,0.42,1.0,1.0,1.0,3,3,,
MustardBottle,OT-CFM,CFM-noOT,50,0.7,0.66,0.6727831633346016,0.67189438344769,0.6875,4,2,,
MustardBottle,OT-CFM,DDPM(DDIM-50),50,0.7,0.7,1.0,1.0,1.0,6,6,,
MustardBottle,CFM-noOT,DDPM(DDIM-50),50,0.66,0.7,0.6727831633346016,0.67189438344769,0.6875,2,4,,
Pear,OT-CFM,CFM-noOT,50,0.56,0.76,0.0360627428969812,0.035062475917712194,0.04138946533203125,5,15,,
Pear,OT-CFM,DDPM(DDIM-50),50,0.56,0.76,0.0360627428969812,0.035062475917712194,0.021270751953125,3,13,,
Pear,CFM-noOT,DDPM(DDIM-50),50,0.76,0.76,1.0,1.0,1.0,6,6,,
PowerDrill,OT-CFM,CFM-noOT,50,0.82,0.86,0.5910037418755427,0.5898390355851598,0.79052734375,6,8,,
PowerDrill,OT-CFM,DDPM(DDIM-50),50,0.82,0.88,0.4063219288423605,0.4059865268188745,0.548828125,4,7,,
PowerDrill,CFM-noOT,DDPM(DDIM-50),50,0.86,0.88,0.7718599762205246,0.7690073775169377,1.0,6,7,,
Scissors,OT-CFM,CFM-noOT,50,0.8,0.8,1.0,1.0,nan,0,0,,"FALLBACK_BUG_INVALID (excluded 2026-07-09) -- ui.py's _cfm_sample_candidates() never matches 'scissors' against the trained 'cylinder' key, so all 50 trials for every method silently used the same random-CoM fallback sampler, not OT-CFM/CFM-noOT/DDPM. See paperA_data/README.md CRITICAL section. Do not cite this scope's rows."
Scissors,OT-CFM,DDPM(DDIM-50),50,0.8,0.8,1.0,1.0,nan,0,0,,"FALLBACK_BUG_INVALID (excluded 2026-07-09) -- ui.py's _cfm_sample_candidates() never matches 'scissors' against the trained 'cylinder' key, so all 50 trials for every method silently used the same random-CoM fallback sampler, not OT-CFM/CFM-noOT/DDPM. See paperA_data/README.md CRITICAL section. Do not cite this scope's rows."
Scissors,CFM-noOT,DDPM(DDIM-50),50,0.8,0.8,1.0,1.0,nan,0,0,,"FALLBACK_BUG_INVALID (excluded 2026-07-09) -- ui.py's _cfm_sample_candidates() never matches 'scissors' against the trained 'cylinder' key, so all 50 trials for every method silently used the same random-CoM fallback sampler, not OT-CFM/CFM-noOT/DDPM. See paperA_data/README.md CRITICAL section. Do not cite this scope's rows."
TomatoSoupCan,OT-CFM,CFM-noOT,50,0.8,0.98,0.004295095501465067,0.004219873820041738,0.01171875,1,10,,
TomatoSoupCan,OT-CFM,DDPM(DDIM-50),50,0.8,1.0,0.0009329879083673862,0.0010013273839442403,0.001953125,0,10,,
TomatoSoupCan,CFM-noOT,DDPM(DDIM-50),50,0.98,1.0,0.3270861186553847,0.32222340595067545,1.0,0,1,,
