checkpoint_a,checkpoint_b,query,n_pairs,accuracy_a,accuracy_b,accuracy_diff_b_minus_a,win,tie,loss
base,nodist,Banana,104,0.6634615384615384,0.5192307692307693,-0.14423076923076916,18,53,33
base,nodist,CrackerBox,99,0.7070707070707071,0.8080808080808081,0.101010101010101,24,61,14
base,nodist,MustardBottle,120,0.8083333333333333,0.2916666666666667,-0.5166666666666666,7,44,69
base,nodist,PowerDrill,68,0.6176470588235294,0.27941176470588236,-0.3382352941176471,5,35,28
base,nodist,Scissors,115,0.7652173913043478,0.6608695652173913,-0.10434782608695659,17,69,29
base,nodist,TomatoSoupCan,76,0.19736842105263158,0.5526315789473685,0.3552631578947369,33,37,6
base,nozrel,Banana,104,0.6634615384615384,0.6634615384615384,0.0,17,70,17
base,nozrel,CrackerBox,99,0.7070707070707071,0.797979797979798,0.09090909090909094,15,78,6
base,nozrel,MustardBottle,120,0.8083333333333333,0.8166666666666667,0.008333333333333304,6,109,5
base,nozrel,PowerDrill,68,0.6176470588235294,0.6470588235294118,0.02941176470588236,7,56,5
base,nozrel,Scissors,115,0.7652173913043478,0.7304347826086957,-0.034782608695652195,7,97,11
base,nozrel,TomatoSoupCan,76,0.19736842105263158,0.34210526315789475,0.14473684210526316,17,53,6
base,full_v2,Banana,104,0.6634615384615384,0.4230769230769231,-0.24038461538461536,6,67,31
base,full_v2,CrackerBox,99,0.7070707070707071,0.9191919191919192,0.21212121212121215,21,78,0
base,full_v2,MustardBottle,120,0.8083333333333333,0.775,-0.033333333333333326,6,104,10
base,full_v2,PowerDrill,68,0.6176470588235294,0.7352941176470589,0.11764705882352944,9,58,1
base,full_v2,Scissors,115,0.7652173913043478,0.6521739130434783,-0.11304347826086958,11,80,24
base,full_v2,TomatoSoupCan,76,0.19736842105263158,0.39473684210526316,0.19736842105263158,18,55,3
nodist,full_v2,Banana,104,0.5192307692307693,0.4230769230769231,-0.0961538461538462,17,60,27
nodist,full_v2,CrackerBox,99,0.8080808080808081,0.9191919191919192,0.11111111111111116,17,76,6
nodist,full_v2,MustardBottle,120,0.2916666666666667,0.775,0.48333333333333334,68,42,10
nodist,full_v2,PowerDrill,68,0.27941176470588236,0.7352941176470589,0.4558823529411765,35,29,4
nodist,full_v2,Scissors,115,0.6608695652173913,0.6521739130434783,-0.008695652173912993,23,68,24
nodist,full_v2,TomatoSoupCan,76,0.5526315789473685,0.39473684210526316,-0.1578947368421053,10,44,22
nozrel,full_v2,Banana,104,0.6634615384615384,0.4230769230769231,-0.24038461538461536,17,45,42
nozrel,full_v2,CrackerBox,99,0.797979797979798,0.9191919191919192,0.12121212121212122,13,85,1
nozrel,full_v2,MustardBottle,120,0.8166666666666667,0.775,-0.04166666666666663,3,109,8
nozrel,full_v2,PowerDrill,68,0.6470588235294118,0.7352941176470589,0.08823529411764708,10,54,4
nozrel,full_v2,Scissors,115,0.7304347826086957,0.6521739130434783,-0.07826086956521738,14,78,23
nozrel,full_v2,TomatoSoupCan,76,0.34210526315789475,0.39473684210526316,0.05263157894736842,20,40,16
